Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
AGAP004677	0	157348	186936
AGAP004678	0	203779	205293
AGAP004679	0	207894	210460
AGAP004680	0	271285	271815
AGAP004681	0	358329	359280
AGAP004682	0	433503	461627
AGAP004683	0	485698	488369
AGAP004684	0	493039	493543
AGAP004685	0	493579	497632
AGAP004686	0	742004	747057
AGAP004687	0	819113	819301
AGAP004688	0	1018044	1019196
AGAP004689	0	1052036	1057434
AGAP004690	0	1133037	1133751
AGAP004691	0	1272330	1301008
AGAP004692	0	1411011	1441380
AGAP004693	0	1527686	1533479
AGAP004694	0	1595176	1602296
AGAP004695	0	1834186	1835605
AGAP004696	0	1926520	1965505
AGAP004698	0	1969023	1971192
AGAP004699	0	1973601	1976357
AGAP004700	0	2013634	2015127
AGAP004701	0	2074972	2120041
AGAP004702	0	2163142	2164726
AGAP004703	0	2248667	2253660
AGAP004704	0	2253748	2255495
AGAP004706	0	2305657	2306118
AGAP004707	0	2358158	2431617
AGAP004708	0	2471997	2474401
AGAP004709	0	2482553	2483310
AGAP004710	0	2483226	2483631
AGAP004711	0	2487770	2489611
AGAP004712	0	2506572	2507341
AGAP004713	0	2559360	2559808
AGAP004714	0	2573498	2574460
AGAP004715	0	2615657	2620722
AGAP004716	0	2624121	2627818
AGAP004717	0	2643650	2679635
AGAP004718	0	2687938	2714108
AGAP004719	0	2714552	2719933
AGAP004720	0	2727394	2742060
AGAP004721	0	2749855	2752163
AGAP004722	0	2752424	2753362
AGAP004723	0	2756472	2760324
AGAP004724	0	2775211	2796481
AGAP004725	0	2797664	2801444
AGAP004726	0	2804809	2807762
AGAP004727	0	2812213	2814510
AGAP004728	0	2824043	2831367
AGAP004729	0	2844659	2847575
AGAP004730	0	2865994	2866766
AGAP004731	0	2867519	2886486
AGAP004732	0	2903653	2904798
AGAP004733	0	2917655	2919864
AGAP004734	0	2920492	2930688
AGAP004735	0	2966120	2967485
AGAP004736	0	2968484	2969976
AGAP004737	0	2970597	2972678
AGAP004738	0	2972794	2974653
AGAP004739	0	2976111	2977915
AGAP004740	0	2982984	2983998
AGAP004741	0	2997029	2998143
AGAP004742	0	2998916	3008084
AGAP004743	0	3020238	3021140
AGAP004744	0	3021774	3025711
AGAP004745	0	3026512	3030332
AGAP004746	0	3030691	3033267
AGAP004747	0	3034074	3037570
AGAP004748	0	3037963	3038411
AGAP004749	0	3038604	3040277
AGAP004750	0	3042114	3052055
AGAP004751	0	3052358	3056687
AGAP004752	0	3056994	3057847
AGAP004753	0	3057997	3061847
AGAP004754	0	3063116	3064911
AGAP004755	0	3065637	3066950
AGAP004756	0	3066808	3068278
AGAP004757	0	3069282	3070456
